region_name,tiles,population,area_km2,population_density_km2,pw_access_prob,sw_access_prob,either_access_prob,dense_threshold,low_access_threshold_pw,low_access_threshold_sw,is_hotspot_pw,is_hotspot_sw,hotspot_score_pw,hotspot_score_sw
IlorinWest,15,467218.585856,98.23724136120512,4756.023066019333,0.618763049007582,0.45355643339652707,0.6513160729838373,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.02628457550519003,0.03767482965207108
AmuwoOdofin,28,747721.4812070002,173.27594175804256,4315.206563708057,0.5813220320996169,0.5450344952797199,0.6256137310376891,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.026190496112846507,0.028460471284438085
Nkwerre,6,108009.763407,39.16936844989194,2757.5058695463335,0.35028319962439136,0.24807185163074336,0.35028319962439136,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.025971831120439236,0.030057635685056937
EnuguSouth,10,250960.16179100002,70.16996227678489,3576.461403828173,0.5157999775849215,0.5267365976050999,0.6601928976407843,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.025103852565343723,0.02453683215262183
NnewiNorth,11,241081.780242,64.40326405600054,3743.31617776969,0.5521541396204063,0.2961725435952201,0.5521541396204063,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.02430228463879377,0.038193085379084044
KadunaNorth,13,447801.87043800007,87.80870151527606,5099.7436781375945,0.6779981781807339,0.48525991293176746,0.6834233549300233,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.023805028454179363,0.038053829478156366
OwerriMunicipal,5,158299.34881500003,34.13768292914336,4637.08533304877,0.651398466682851,0.6589384469088686,0.7094273763959477,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.023433459513433938,0.022926611997081417
Anaocha,19,454233.34969299997,105.18566753890414,4318.395845375003,0.6257929185503438,0.3304608154237566,0.6257929185503438,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.02342591046071489,0.041914131948177086
Maiduguri,18,777957.9625919999,131.23726991268236,5927.873713843695,0.7345823875555229,0.29022121298412606,0.7345823875555229,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.022808184054995018,0.06099356053839757
Eleme,20,362129.35953700007,123.99337449305416,2920.554110391485,0.4689551250363825,0.3578281509071976,0.4839812132928671,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.022483219824318536,0.027188080572534957
IfeEast,15,214402.03190700003,102.23138260033727,2097.223244501955,0.2627326452898247,0.1578187950929523,0.2760494811975201,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.022414636211132787,0.02560426039650935
IdeatoSouth,13,210213.821403,84.65639996136336,2483.1415167540817,0.38397412493177313,0.2242627340362001,0.38397412493177313,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.02217493999273007,0.027924033744469876
Idah,8,94533.30251500002,47.85408026073637,1975.449157102771,0.2549552724346369,0.0506729695287949,0.2549552724346369,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.02133586378779396,0.02718590101079214
IleshaWest,8,140715.796038,64.77486863208338,2172.382576910432,0.32669716585505115,0.6780932485629069,0.6783764178876003,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.021203559894601046,0.010137442972805673
Gokana,13,302420.0857790001,90.56277512710174,3339.3420790668556,0.5648584771446544,0.39117568550571624,0.5648584771446544,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.021064612054331147,0.029472360876784204
Njaba,14,223738.07116300002,80.30005036182627,2786.2756020058805,0.4807321461353054,0.2915915395139096,0.4807321461353054,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.020973820052037805,0.02861342458038611
